target;type;state;attack_type;date;description;url;target_website;website_certificate;certificate_vendor;type_of_certificate;website_quality (high medium low);month;year
"King George County Schools, King George County";Education;Virginia;"Unknown, Ransomware";9/6/2020;"The Free Lance-StarSeptember 6th, 2020Cyberattack was a limited attack only affecting four computersData loss was minimal and no server data was affected but affected desk tops were plagued by ransomwareThe tech team was praised for their response along with its insurer VACORP allowed for a quick and effective analysis and solutionRead More";"https://fredericksburg.com/news/local/king-george-will-resume-virtual-classes-tuesday-after-resolving-cyberattack/article_92b81153-a7cc-56c5-ad3d-cd620df42ad1.html,";https://www.kgcs.k12.va.us/;Y;SSL.com RSA SSL subCA;sha256;med;9;2020
"Fairfax County Public Schools, Fairfax County";Education;Virginia;"Unknown, Ransomware";9/11/2020;"NBC 4 WashingtonSeptember 11th, 2020Bad actors posted private information following cyberattackLeaked information includes disciplinary action information on 15 different studentsStaff potentially had social security information contained within the leakRead More";https://www.nbcwashington.com/news/local/hackers-break-into-fcps-network-hold-personal-info-for-ransom/2416279;https://www.fcps.edu/;Y;Cloudflare Inc ECC CA-3;sha256;med;9;2020
"Roanoke College, Roanoke County";Education;Virginia;"Unknown, Ransomware";12/22/2020;"Bleeping ComputerDecember 22nd, 2020Following cyberattack, IT officials disabled computer networkBad actors utilized ransomware in their hitOfficials advised that restoration of shared drives had begunRead More";https://www.bleepingcomputer.com/news/security/roanoke-college-delays-spring-semester-after-cyberattack/;https://www.roanokecountyva.gov/1958/University;Y;Sectigo RSA Domain Validation Secure Server CA ;sha256;high;12;2020
Northwest University;Education;Washington;Hack;5/5/2018;"KIRO 7May 5th, 2018Hackers infiltrated email account of Northwest University Chief Financial OfficerHackers rerouted $60,000 when CFO paid a trusted vendorNo suspects have been arrestedRead More";https://www.kiro7.com/news/local/email-account-of-northwest-universitys-cfo-hacked-school-out-nearly-60000/744040954;https://www.northwestu.edu/;Y;DigiCert SHA2 High Assurance Server CA;sha256;high;5;2018
Clover Park School District;Education;Washington;"Hacking, Ransomware";5/26/2021;"KIRO 7May 26th, 2021Facing a “system outage,” the Clover Park School District is investigating why it’s “experiencing a technology issueThe technology issues, showing a blue screen that states, “Clover Park School District, you are f-----.” The screen also includes a link, which leads to another page with specific threats and instructionsClover Park School District, you’ve been hacked,” the site states. “Pay or grief. Sensitive information will be shared to the public ... There are (not) any third-party solution(s) which can help you. But you can damage your informationRead More";https://www.kiro7.com/news/local/clover-park-school-district-investigating-possible-ransomware-attack/J7ZJQSJGBRARJE5IEM3CMJVV2M;https://www.cloverpark.k12.wa.us/;Y;SSL.com RSA SSL subCA;sha256;med;5;2021
"North Beach School District, Skagit County";Education;Washington;"Phishing, Data Breach";2/1/2018;"North Beach School DistrictFebruary 1st, 2018Business Email Compromise scheme hits school district in Skagit county Hackers received 2017 W-2 forms via phishing schemeNorth Beach School District notified the potentially affected and is working with law enforcement to further investigate the breachRead More";"https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Home/Supporting_Law_Enforcement/NorthBeachSchoolDistrict.2018-03-08.pdf,";https://www.northbeachschools.org/;Y;Amazon;sha256;med;2;2018
"Tukwila School District, King County";Education;Washington;"Phishing, Other";10/9/2019;"KING5October 9th, 2019King County school district was victim of phishing cyberattackLocal police and FBI investigated the attackOfficials didn't release any other details, ensured policies followedRead More";https://www.king5.com/article/news/local/tukwila-school-district-victim-of-a-phishing-scam-officials-say/281-24e75c72-adb2-4413-a627-d75220884ebc;https://www.tukwilaschools.org/;Y;Cloudflare Inc ECC CA-3;sha256;med;10;2019
"Moses Lake School District, Grant County";Education;Washington;"Phishing, Ransomware";2/21/2020;"Security IntelligenceFebruary 21st, 2020Bad actors demanded $1 million ransomSchool district forced to rebuild 50 servers and computersPersonal information seemed unaffected due to separate storageRead More";https://securityintelligence.com/ibm_timeline/a-ransomware-attack-took-the-16-school-district-offline-for-more-than-two-weeks;https://www.mlsd161.org/;Y;R3;sha256;high;2;2020
"Northshore School District, King County and Snohomish County";Education;Washington;"Unknown, Malware";9/24/2019;"KomoNews September 24th, 2019 School District victim of cyberattack, affected three separate towns Phone lines and voicemail servers affected, officials believe no personal information leaked Officials Stated the attack was significant, food service payment also hitRead More";"https://komonews.com/news/local/northshore-school-district-hit-by-significant-cyber-attack,";https://www.nsd.org/;Y;Cloudflare Inc ECC CA-3;sha256;high;9;2019
"Northwest Indian College, Whatcom County";Education;Washington;"Unknown, Ransomware";7/16/2019;"Data Breaches July 16th, 2019 A Ryuk attack had corrupted several internal files within the system like backups and other legacy data The college is still open but overall limited due to the suppression of the systems, hybrid classes are especially limitedNo questions about the cost of the ransomware will be answered to help avoid entertaining the hacker’s demandsRead More";https://www.databreaches.net/northwest-indian-college-suffered-major-file-loss-in-ryuk-ransomware-incident/;https://www.nwic.edu/;Y;R3;sha256;high;7;2019
"Walla Walla University, Walla Walla County";Education;Washington;"Unknown, Ransomware";12/13/2019;"Gov TechDecember 13th, 2019Internet and phone lines affected in cyberattackOfficials notified students to avoid using school networkLogin credentials had been compromised in ransomware hitRead More";"https://www.govtech.com/security/Walla-Walla-Wash-University-Disrupted-by-Cyberattack.html,";https://www.wallawalla.edu/;Y;DigiCert TLS RSA sha256 2020 CA1;sha256;high;12;2019
"Howard University, District of Columbia";Education;Washington DC;"Unknown,"" Ransomware";9/7/2021;"The HillSeptember 7th"","" 2021-""""""""A major Washington"", D.C., university was hit by a ransomware attack over Labor Day weekend,"" forcing the cancellation of classes on Tuesday""""""""“…it said there was no evidence of personal information being stolen.""""""""""""""""Howard said that its information technology team detected unusual activity on the school’s network on Friday"","" prompting an investigation into the situation.""""""""“We are currently working with leading external forensic experts and law enforcement to fully investigate the incident and the impact.""""""""Read More""""";"https://thehill.com/policy/technology/overnights/571171-hillicon-valley?rl=1""";https://howard.edu/;Y;Go Daddy Secure Certification Authority - G2;sha256;high;9;2021
Mercer County Schools;Education;West Virginia;Phishing;2/10/2017;"Bluefield Daily TelegraphFebruary 10th, 2017Mercer County Schools hit through W-2 form phishing schemeCounty employees offered one year of free credit monitoringFBI notified on data breachRead More";http://www.bdtonline.com/news/fbi-investigating-mercer-county-schools-data-breach/article_2d1805de-f008-11e6-80b8-6782318ad3ab.html;https://boe.merc.k12.wv.us/;Y;R3;sha256;high;2;2017
Kanawha County Board of Education;Education;West Virginia;Ransomware;1/12/2017;"WCHS TVJanuary 12th, 2017Kanawha County Board of Education server hit with ransomwareNo personal information compromised in attackIT worked to restore server using backupsRead More";http://wchstv.com/news/local/kanawha-county-board-of-education-server-accessed-by-ransomeware;https://kcs.kana.k12.wv.us/;Y;SSL.com RSA SSL subCA;sha256;med;1;2017
"Northcentral Technical College, Marathon County";Education;Wisconsin;Hack;6/7/2018;"WSAUJune 7th, 2018Cyber attack hits Northcentral Technical CollegeCancelled classes to implement a cyber security response planNo personal data compromised as result of attack Working diligently to bring systems back online Read More";http://wsau.com/news/articles/2018/jun/07/student-faculity-data-believed-to-be-safe-after-cyber-incident-at-ntc/;https://www.ntc.edu/;Y;R3;sha256;high;6;2018
Barron Area School District;Education;Wisconsin;Phishing;1/18/2017;"Bloomer AdvanceJanuary 18th, 2017Barron Area School District falls victim to spear-phishing schemeW-2 forms of 430 people compromisedEmployees reported five accounts of fraudulent tax returns filedIRS has PIN system in place for those who felt their data had been compromisedRead More";https://www.bloomeradvance.com/news/article_b19090b0-faa1-52aa-a96d-2a8a622e1986.html;https://www.barron.k12.wi.us/;Y;Cloudflare Inc ECC CA-3;sha256;med;1;2017
Black River Falls School District;Education;Wisconsin;Phishing;1/18/2017;"Lacrosse TribuneJanuary 18th, 2017District employee fell victim to spear-phishing schemeSent all 2016 employee W-2 forms to hackersHackers posed as superintendent to trick District employeesRead More";http://lacrossetribune.com/jacksoncochronicle/news/local/phisher-gets-w--s-from-brf-tries-at-alma/article_8cf50282-590a-54ac-9fb0-798a0139b9f7.html;brf.org;Y;Cloudflare Inc RSA CA-2;sha256;med;1;2017
"Shorewood School District, Milwaukee County";Education;Wisconsin;"Unknown, Data Breach";2/2/2021;"TMJ4February 2nd, 2021The school district had mistakenly released information regarding student's name and ID number, school, and demographics like gender and ethnicityThe leak was accidentally prompted from an open records requestDue to the recent breach new procedures have been authorized to prevent this from happening again in the futureRead More";https://www.tmj4.com/news/local-news/shorewood-school-district-mistakenly-releases-student-info-while-responding-to-records-request;https://www.shorewood.k12.wi.us/;Y;R3;sha256;high;2;2021
"Union Grove High School, Racine County";Education;Wisconsin;"Unknown, Ransomware";2/9/2020;"The Journal TimesFebruary 9th, 2020IT personnel acted quickly, helped mitigate damage from cyberattackOfficials took nearly a week to cleanse affected systemsSchool increased its security protections and educated staffRead More";https://journaltimes.com/news/local/union-grove-high-learns-lessons-from-ransomware-scare/article_cbf744f9-2cdd-586c-b713-fb738cd470fc.html;ug.k12.wi.us;Y;Amazon;sha256;med;2;2020
